time	integration	band	mag	mag_limit	dmag	instrument	time_unit	mag_unit	dtime
141137	184	B	20.91	1	NaN	UVOT	seconds	unspecified	NaN
142008	25 \times 400	R_{C}	22.84	0	0.11	DFOSC	seconds	unspecified	NaN
144815	900	B	22.19	0	0.47	UVOT	seconds	unspecified	NaN
146738	553	V	20.55	1	NaN	UVOT	seconds	unspecified	NaN
231672	53 \times 300	I_{C}	23.1	1	NaN	DFOSC	seconds	unspecified	NaN
313726	29 \times 300	I_{C}	22.74	0	0.19	DFOSC	seconds	unspecified	NaN
406438	21 \times 200	I_{C}	23.03	0	0.23	DFOSC	seconds	unspecified	NaN
868505	20,957	V	22.56	1	NaN	UVOT	seconds	unspecified	NaN
1039340	8274	V	22.06	1	NaN	UVOT	seconds	unspecified	NaN
1384870	6755	V	21.91	1	NaN	UVOT	seconds	unspecified	NaN
1468840	4722	V	21.69	1	NaN	UVOT	seconds	unspecified	NaN
1941288	14,167	V	22.38	1	NaN	UVOT	seconds	unspecified	NaN
2338167	21,133	V	22.58	1	NaN	UVOT	seconds	unspecified	NaN
2424904	26,389	V	22.63	1	NaN	UVOT	seconds	unspecified	NaN
3146746	39 \times 52	K_{s}	19.57	1	NaN	NOTCam	seconds	unspecified	NaN
3371121	12,866	V	22.15	1	NaN	UVOT	seconds	unspecified	NaN
3455561	4722	V	21.81	1	NaN	UVOT	seconds	unspecified	NaN
3590733	15,986	V	22.34	1	NaN	UVOT	seconds	unspecified	NaN
3732868	18,806	V	22.59	0	0.42	UVOT	seconds	unspecified	NaN
4170209	321	V	19.97	1	NaN	UVOT	seconds	unspecified	NaN
5706808	25,285	V	22.57	1	NaN	UVOT	seconds	unspecified	NaN
5793106	20,898	V	22.43	1	NaN	UVOT	seconds	unspecified	NaN
5880015	23,533	V	22.52	1	NaN	UVOT	seconds	unspecified	NaN
6136666	15,285	V	22.21	1	NaN	UVOT	seconds	unspecified	NaN
6310565	13,933	V	22.13	1	NaN	UVOT	seconds	unspecified	NaN
6394649	10,004	V	21.95	1	NaN	UVOT	seconds	unspecified	NaN
