date	instrument	mag	mag_limit	dmag	band	date_unit	mag_unit	mag_type	time_frame	extinction_corrected	time	time_unit	dtime	reference	extinction
1999-Aug-12.232	VLT8m	21.65	0	0.03	R	yyyy-month-deciday	AB	apparent	observer	True	30.53544	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.06
1999-Aug-16.320	CTIO0.9ma	21.75	0	0.06	R	yyyy-month-deciday	AB	apparent	observer	True	34.62345	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.06
1999-Aug-16.445	AAT3.9m	21.779	0	0.041	R	yyyy-month-deciday	AB	apparent	observer	True	34.74845	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.06
1999-Jul-13.156	SAAO1m	20.523	0	0.017	V	yyyy-month-deciday	AB	apparent	observer	True	0.45945	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-13.158	SAAO1m	20.516	0	0.015	V	yyyy-month-deciday	AB	apparent	observer	True	0.46145	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-13.405	VLT8m	20.852	0	0.023	V	yyyy-month-deciday	AB	apparent	observer	True	0.70844	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-13.406	VLT8m	20.866	0	0.028	V	yyyy-month-deciday	AB	apparent	observer	True	0.70945	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-14.157	VLT8m	21.29	0	0.041	V	yyyy-month-deciday	AB	apparent	observer	True	1.46044	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-14.298	VLT8m	21.458	0	0.053	V	yyyy-month-deciday	AB	apparent	observer	True	1.60145	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-14.787	SAAO1m	21.795	0	0.089	V	yyyy-month-deciday	AB	apparent	observer	True	2.09044	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-20.433	NTT3.5m	22.065	0	0.1	V	yyyy-month-deciday	AB	apparent	observer	True	7.73645	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Aug-02.511	AAT3.9m	22.136	0	0.042	V	yyyy-month-deciday	AB	apparent	observer	True	20.81445	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Aug-16.471	AAT3.9m	22.305	0	0.054	V	yyyy-month-deciday	AB	apparent	observer	True	34.77445	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.075
1999-Jul-13.774	SAAO1m	20.266	0	0.082	I	yyyy-month-deciday	AB	apparent	observer	True	1.07744	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.02
1999-Jul-14.271	NTT3.5m	20.603	0	0.078	I	yyyy-month-deciday	AB	apparent	observer	True	1.57445	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.02
1999-Jul-14.810	SAAO1m	20.933	0	0.258	I	yyyy-month-deciday	AB	apparent	observer	True	2.11345	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.02
1999-Jul-20.439	NTT3.5m	20.95	0	0.1	I	yyyy-month-deciday	AB	apparent	observer	True	7.74244	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.02
1999-Aug-02.554	AAT3.9m	21.164	0	0.165	I	yyyy-month-deciday	AB	apparent	observer	True	20.85744	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.02
1999-Aug-16.414	AAT3.9m	21.42	0	0.1	I	yyyy-month-deciday	AB	apparent	observer	True	34.71744	days	NaN	https://ui.adsabs.harvard.edu/abs/2000ApJ...540...74S/abstract	-0.02
