time	integration	mag	dmag	dmag2	band	instrument	mag_limit	time_unit	integration_unit	mag_unit	mag_type	time_frame	extinction_corrected	dtime
376	70	14.74	0.03	0.03	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
425	30	14.8	0.05	0.05	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
582	20	14.2	0.05	0.04	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
732	20	13.58	0.04	0.04	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
16984	779	18.08	0.05	0.05	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
23063	907	18.59	0.06	0.06	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
116171	103	19.55	NaN	NaN	U	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
189538	35649	21.73	0.95	0.5	U	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
213338	160	20.73	NaN	NaN	U	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
1117256	34754	22.77	NaN	NaN	U	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
458	20	15.71	0.079	0.079	B	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
607	20	14.977	0.07	0.07	B	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
757	20	14.535	0.067	0.067	B	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
2131	80	16.135	0.03	0.03	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
2221	80	16.206	0.022	0.022	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
2346	80	16.259	0.028	0.027	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
2434	80	16.375	0.032	0.031	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
2526	80	16.487	0.033	0.032	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
2705	80	16.528	0.03	0.029	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
2795	80	16.593	0.033	0.032	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
2885	80	16.575	0.032	0.031	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
3066	80	16.551	0.037	0.036	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3157	80	16.615	0.037	0.036	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3248	80	16.692	0.039	0.038	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3429	80	16.759	0.034	0.033	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
3520	80	16.746	0.036	0.035	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
3609	80	16.735	0.032	0.031	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
3700	80	16.678	0.03	0.029	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
3791	80	16.778	0.031	0.03	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
3879	80	16.784	0.03	0.029	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
3970	80	16.797	0.031	0.03	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4076	80	16.738	0.041	0.04	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4166	80	16.782	0.038	0.037	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4256	80	16.789	0.037	0.036	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4346	80	16.835	0.045	0.044	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4435	80	16.8	0.039	0.038	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4524	80	16.831	0.041	0.039	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4615	80	16.817	0.04	0.038	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4720	80	16.884	0.033	0.032	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
4810	80	16.868	0.034	0.033	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
4900	80	16.857	0.033	0.032	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
4991	80	16.903	0.036	0.035	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5080	80	16.96	0.038	0.037	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5171	80	16.963	0.037	0.035	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5262	80	17.006	0.039	0.038	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5365	80	17.067	0.048	0.046	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
5455	80	17.092	0.051	0.049	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
5544	80	17.072	0.05	0.048	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
5633	80	17.042	0.05	0.048	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
5724	80	17.184	0.054	0.051	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
5812	80	17.213	0.059	0.056	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
5901	80	17.191	0.058	0.055	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6008	80	17.195	0.04	0.039	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6100	80	17.225	0.041	0.039	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6188	80	17.271	0.042	0.041	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6277	80	17.275	0.043	0.042	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6368	80	17.288	0.042	0.041	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6457	80	17.285	0.044	0.043	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6548	80	17.265	0.043	0.041	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6655	80	17.21	0.051	0.049	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
6745	80	17.241	0.062	0.058	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
6835	80	17.311	0.059	0.056	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
6925	80	17.282	0.059	0.056	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7015	80	17.334	0.063	0.059	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7105	80	17.453	0.067	0.063	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7195	80	17.511	0.075	0.07	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7282	80	17.31	0.06	0.057	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7373	80	17.28	0.073	0.068	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7464	80	17.423	0.07	0.066	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7552	80	17.514	0.074	0.069	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
7642	80	17.459	0.074	0.07	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
8587	400	17.672	0.033	0.032	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
8993	320	17.895	0.041	0.04	B	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
9498	560	17.88	0.034	0.033	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
10121	560	18.089	0.042	0.041	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
10786	560	18.169	0.046	0.044	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
11413	560	18.24	0.043	0.042	B	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
12380	1120	18.351	0.041	0.039	B	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
16220	1040	18.695	0.062	0.059	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
23723	402	19.28	0.13	0.12	B	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
40646	906	20.32	0.16	0.14	B	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
54838	11680	21.161	0.353	0.269	B	Prompt3	0	seconds	seconds	Vega	apparent	observer	False	NaN
89249	6480	21.201	0.421	0.308	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
95806	1200	22.0	0.05	0.05	B	MAO/AZT-22	0	seconds	seconds	Vega	apparent	observer	False	NaN
98664	7440	21.157	0.302	0.238	B	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
132402	62	20.56	NaN	NaN	B	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
139594	3360	21.447	0.94	0.538	B	Prompt3	0	seconds	seconds	Vega	apparent	observer	False	NaN
177333	1200	22.7	0.07	0.07	B	MAO/AZT-22	0	seconds	seconds	Vega	apparent	observer	False	NaN
189702	35649	21.13	NaN	NaN	B	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
213502	160	20.52	NaN	NaN	B	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
7133414	7140	21.42	NaN	NaN	B	Prompt3	1	seconds	seconds	Vega	apparent	observer	False	NaN
59238	3600	20.665	0.041	0.04	g'	Yerkes-41	0	seconds	seconds	Vega	apparent	observer	False	NaN
136192	3600	21.839	0.255	0.208	g'	Yerkes-41	0	seconds	seconds	Vega	apparent	observer	False	NaN
226578	3360	22.21	0.444	0.32	g'	Yerkes-41	0	seconds	seconds	Vega	apparent	observer	False	NaN
120	10	15.6	0.15	0.13	V	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
508	20	15.18	0.09	0.08	V	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
658	20	14.24	0.06	0.05	V	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
808	20	13.86	0.05	0.05	V	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
2129	80	15.675	0.027	0.026	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
2217	80	15.666	0.019	0.019	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
2331	80	15.806	0.017	0.017	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
2421	80	15.891	0.018	0.018	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
2512	80	15.955	0.019	0.019	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
2583	80	15.963	0.029	0.028	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
2694	80	16.069	0.026	0.025	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
2784	80	16.199	0.027	0.027	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
2874	80	16.101	0.028	0.028	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
2963	80	16.108	0.025	0.024	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
3055	80	16.122	0.025	0.024	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
3143	80	16.147	0.024	0.024	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
3233	80	16.201	0.025	0.024	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
3322	80	16.207	0.025	0.025	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
3415	80	16.283	0.031	0.03	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3505	80	16.276	0.032	0.031	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3596	80	16.284	0.031	0.03	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3687	80	16.255	0.029	0.028	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3775	80	16.307	0.03	0.029	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3866	80	16.321	0.028	0.027	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
3954	80	16.336	0.029	0.028	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
4062	80	16.262	0.022	0.021	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4151	80	16.29	0.022	0.022	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4240	80	16.316	0.022	0.022	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4329	80	16.333	0.022	0.022	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4419	80	16.344	0.023	0.023	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4510	80	16.41	0.024	0.023	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4600	80	16.431	0.024	0.024	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
4705	80	16.432	0.028	0.028	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4794	80	16.387	0.03	0.029	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4884	80	16.434	0.03	0.029	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
4974	80	16.464	0.032	0.031	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
5063	80	16.475	0.03	0.029	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
5151	80	16.53	0.034	0.033	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
5241	80	16.584	0.034	0.033	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
5353	80	16.583	0.029	0.028	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5443	80	16.612	0.03	0.029	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5533	80	16.629	0.03	0.029	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5622	80	16.612	0.03	0.029	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5713	80	16.625	0.031	0.03	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5803	80	16.643	0.032	0.031	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5892	80	16.659	0.033	0.032	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
5996	80	16.779	0.042	0.041	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6087	80	16.747	0.043	0.041	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6178	80	16.675	0.04	0.038	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6268	80	16.94	0.048	0.046	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6356	80	16.811	0.043	0.041	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6448	80	16.728	0.041	0.039	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6536	80	16.731	0.039	0.038	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
6641	80	16.819	0.033	0.032	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6730	80	16.83	0.033	0.032	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6819	80	16.839	0.033	0.032	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
6910	80	16.884	0.034	0.033	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7000	80	16.956	0.036	0.035	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7088	80	16.932	0.036	0.035	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7180	80	16.901	0.036	0.035	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7270	80	16.983	0.039	0.038	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7359	80	16.969	0.039	0.038	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7451	80	16.895	0.038	0.037	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7541	80	16.983	0.038	0.037	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7630	80	17.049	0.042	0.041	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
7699	40	17.079	0.069	0.065	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
8582	400	17.223	0.025	0.025	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
8987	320	17.305	0.029	0.028	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
9488	560	17.459	0.023	0.023	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
10116	560	17.601	0.027	0.027	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
10684	400	17.774	0.044	0.042	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
11130	400	17.741	0.039	0.038	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
11256	907	17.91	0.06	0.06	V	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
11529	320	17.821	0.05	0.047	V	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
12055	560	17.894	0.037	0.036	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
12681	560	17.911	0.037	0.036	V	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
13517	880	18.071	0.033	0.032	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
13541	800	18.075	0.037	0.036	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
14416	720	18.191	0.042	0.04	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
14520	880	18.099	0.034	0.033	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
15223	720	18.341	0.052	0.05	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
15282	480	18.251	0.055	0.052	V	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
46901	200	20.43	1.89	0.65	V	UVOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
54195	9120	20.586	0.102	0.094	V	Prompt1	0	seconds	seconds	Vega	apparent	observer	False	NaN
87979	4200	20.637	0.291	0.231	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
98667	7440	21.0	0.191	0.163	V	PROMPT-SSO-2	0	seconds	seconds	Vega	apparent	observer	False	NaN
96811	1200	21.61	0.05	0.05	V	MAO/AZT-22	0	seconds	seconds	Vega	apparent	observer	False	NaN
102660	907	20.19	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
127508	506	19.84	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
139582	3420	21.275	0.382	0.286	V	Prompt1	0	seconds	seconds	Vega	apparent	observer	False	NaN
190593	35808	20.4	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
214259	52	19.0	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
227739	7200	22.48	1.09	0.59	V	Prompt1	0	seconds	seconds	Vega	apparent	observer	False	NaN
420236	6458	21.46	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
715505	139477	21.76	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
799032	18403	20.92	NaN	NaN	V	UVOT	1	seconds	seconds	Vega	apparent	observer	False	NaN
7131960	7020	21.75	NaN	NaN	V	Prompt1	1	seconds	seconds	Vega	apparent	observer	False	NaN
57572	1280	20.22	0.05	0.05	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
59246	1280	20.23	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
60925	1280	20.33	0.04	0.04	r'	RATiR	0	seconds	seconds	Vega	apparent	observer	False	NaN
63002	1280	20.32	0.03	0.03	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
64674	1280	20.41	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
66362	1280	20.43	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
68429	1280	20.44	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
70081	1280	20.5	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
71725	1280	20.55	0.05	0.05	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
73790	1280	20.7	0.06	0.06	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
75466	1280	20.67	0.06	0.06	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
77158	1280	20.6	0.05	0.05	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
79307	1280	20.53	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
80999	1280	20.61	0.04	0.04	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
142741	300	21.609	0.046	0.046	r'	NOT	0	seconds	seconds	Vega	apparent	observer	False	NaN
145158	3600	21.8	0.25	0.21	r'	Yerkes-41	0	seconds	seconds	Vega	apparent	observer	False	NaN
231603	3600	22.15	0.46	0.33	r'	Yerkes-41	0	seconds	seconds	Vega	apparent	observer	False	NaN
326950	1280	22.88	NaN	NaN	r'	RATIR	1	seconds	seconds	Vega	apparent	observer	False	NaN
1793890	24320	22.84	0.14	0.14	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
2571251	22960	23.55	0.17	0.17	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
3351354	22800	23.71	0.22	0.22	r'	RATIR	0	seconds	seconds	Vega	apparent	observer	False	NaN
13329792	540	23.75	0.11	0.11	r'	GTC	0	seconds	seconds	Vega	apparent	observer	False	NaN
2132	80	15.289	0.025	0.024	R_C	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
2221	80	15.31	0.014	0.014	R_C	PROMPT-SSO-3	0	seconds	seconds	Vega	apparent	observer	False	NaN
2333	80	15.4	0.016	0.016	R_C	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
2420	80	15.443	0.016	0.016	R_C	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
2511	80	15.56	0.018	0.018	R_C	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
2602	80	15.59	0.018	0.018	R_C	PROMPT-SSO-1	0	seconds	seconds	Vega	apparent	observer	False	NaN
2693	80	15.673	0.017	0.017	R_C	PROMPT-SSO-4	0	seconds	seconds	Vega	apparent	observer	False	NaN
